particullate_matter,timestamp
77,01/08/2014 00:05
79,01/08/2014 00:10
79,01/08/2014 00:15
81,01/08/2014 00:20
86,01/08/2014 00:25
81,01/08/2014 00:30
78,01/08/2014 00:35
83,01/08/2014 00:40
87,01/08/2014 00:45
86,01/08/2014 00:50
87,01/08/2014 00:55
86,01/08/2014 01:00
88,01/08/2014 01:05
88,01/08/2014 01:10
85,01/08/2014 01:15
86,01/08/2014 01:20
81,01/08/2014 01:25
84,01/08/2014 01:30
80,01/08/2014 01:35
79,01/08/2014 01:40
77,01/08/2014 01:45
77,01/08/2014 01:50
80,01/08/2014 01:55
82,01/08/2014 02:00
83,01/08/2014 02:05
87,01/08/2014 02:10
88,01/08/2014 02:15
92,01/08/2014 02:20
91,01/08/2014 02:25
87,01/08/2014 02:30
91,01/08/2014 02:35
91,01/08/2014 02:40
93,01/08/2014 02:45
91,01/08/2014 02:50
86,01/08/2014 02:55
89,01/08/2014 03:00
90,01/08/2014 03:05
95,01/08/2014 03:10
100,01/08/2014 03:15
99,01/08/2014 03:20
96,01/08/2014 03:25
98,01/08/2014 03:30
99,01/08/2014 03:35
98,01/08/2014 03:40
96,01/08/2014 03:45
100,01/08/2014 03:50
104,01/08/2014 03:55
105,01/08/2014 04:00
107,01/08/2014 04:05
110,01/08/2014 04:10
114,01/08/2014 04:15
116,01/08/2014 04:20
119,01/08/2014 04:25
115,01/08/2014 04:30
117,01/08/2014 04:35
115,01/08/2014 04:40
113,01/08/2014 04:45
114,01/08/2014 04:50
112,01/08/2014 04:55
112,01/08/2014 05:00
108,01/08/2014 05:05
104,01/08/2014 05:10
104,01/08/2014 05:15
109,01/08/2014 05:20
104,01/08/2014 05:25
101,01/08/2014 05:30
96,01/08/2014 05:35
95,01/08/2014 05:40
94,01/08/2014 05:45
93,01/08/2014 05:50
94,01/08/2014 05:55
89,01/08/2014 06:00
86,01/08/2014 06:05
91,01/08/2014 06:10
88,01/08/2014 06:15
87,01/08/2014 06:20
86,01/08/2014 06:25
82,01/08/2014 06:30
80,01/08/2014 06:35
78,01/08/2014 06:40
74,01/08/2014 06:45
74,01/08/2014 06:50
73,01/08/2014 06:55
76,01/08/2014 07:00
79,01/08/2014 07:05
84,01/08/2014 07:10
88,01/08/2014 07:15
88,01/08/2014 07:20
84,01/08/2014 07:25
83,01/08/2014 07:30
86,01/08/2014 07:35
83,01/08/2014 07:40
85,01/08/2014 07:45
88,01/08/2014 07:50
90,01/08/2014 07:55
91,01/08/2014 08:00
86,01/08/2014 08:05
81,01/08/2014 08:10
79,01/08/2014 08:15
80,01/08/2014 08:20
79,01/08/2014 08:25
77,01/08/2014 08:30
76,01/08/2014 08:35
76,01/08/2014 08:40
77,01/08/2014 08:45
79,01/08/2014 08:50
84,01/08/2014 08:55
85,01/08/2014 09:00
87,01/08/2014 09:05
92,01/08/2014 09:10
90,01/08/2014 09:15
94,01/08/2014 09:20
89,01/08/2014 09:25
85,01/08/2014 09:30
87,01/08/2014 09:35
86,01/08/2014 09:40
91,01/08/2014 09:45
95,01/08/2014 09:50
100,01/08/2014 09:55
99,01/08/2014 10:00
101,01/08/2014 10:05
103,01/08/2014 10:10
104,01/08/2014 10:15
109,01/08/2014 10:20
114,01/08/2014 10:25
109,01/08/2014 10:30
105,01/08/2014 10:35
102,01/08/2014 10:40
104,01/08/2014 10:45
106,01/08/2014 10:50
109,01/08/2014 10:55
109,01/08/2014 11:00
104,01/08/2014 11:05
108,01/08/2014 11:10
109,01/08/2014 11:15
107,01/08/2014 11:20
109,01/08/2014 11:25
110,01/08/2014 11:30
115,01/08/2014 11:35
120,01/08/2014 11:40
117,01/08/2014 11:45
112,01/08/2014 11:50
111,01/08/2014 11:55
106,01/08/2014 12:00
107,01/08/2014 12:05
108,01/08/2014 12:10
106,01/08/2014 12:15
111,01/08/2014 12:20
112,01/08/2014 12:25
110,01/08/2014 12:30
111,01/08/2014 12:35
112,01/08/2014 12:40
114,01/08/2014 12:45
110,01/08/2014 12:50
112,01/08/2014 12:55
114,01/08/2014 13:00
112,01/08/2014 13:05
111,01/08/2014 13:10
108,01/08/2014 13:15
110,01/08/2014 13:20
109,01/08/2014 13:25
104,01/08/2014 13:30
109,01/08/2014 13:35
112,01/08/2014 13:40
112,01/08/2014 13:45
111,01/08/2014 13:50
113,01/08/2014 13:55
112,01/08/2014 14:00
117,01/08/2014 14:05
112,01/08/2014 14:10
109,01/08/2014 14:15
113,01/08/2014 14:20
108,01/08/2014 14:25
112,01/08/2014 14:30
111,01/08/2014 14:35
106,01/08/2014 14:40
108,01/08/2014 14:45
110,01/08/2014 14:50
114,01/08/2014 14:55
118,01/08/2014 15:00
113,01/08/2014 15:05
112,01/08/2014 15:10
117,01/08/2014 15:15
119,01/08/2014 15:20
123,01/08/2014 15:25
120,01/08/2014 15:30
119,01/08/2014 15:35
120,01/08/2014 15:40
123,01/08/2014 15:45
122,01/08/2014 15:50
121,01/08/2014 15:55
124,01/08/2014 16:00
127,01/08/2014 16:05
128,01/08/2014 16:10
125,01/08/2014 16:15
130,01/08/2014 16:20
130,01/08/2014 16:25
133,01/08/2014 16:30
136,01/08/2014 16:35
132,01/08/2014 16:40
133,01/08/2014 16:45
137,01/08/2014 16:50
137,01/08/2014 16:55
136,01/08/2014 17:00
140,01/08/2014 17:05
145,01/08/2014 17:10
147,01/08/2014 17:15
145,01/08/2014 17:20
142,01/08/2014 17:25
141,01/08/2014 17:30
137,01/08/2014 17:35
142,01/08/2014 17:40
142,01/08/2014 17:45
141,01/08/2014 17:50
140,01/08/2014 17:55
140,01/08/2014 18:00
136,01/08/2014 18:05
140,01/08/2014 18:10
144,01/08/2014 18:15
142,01/08/2014 18:20
146,01/08/2014 18:25
141,01/08/2014 18:30
146,01/08/2014 18:35
151,01/08/2014 18:40
152,01/08/2014 18:45
157,01/08/2014 18:50
153,01/08/2014 18:55
153,01/08/2014 19:00
157,01/08/2014 19:05
162,01/08/2014 19:10
164,01/08/2014 19:15
166,01/08/2014 19:20
168,01/08/2014 19:25
172,01/08/2014 19:30
171,01/08/2014 19:35
171,01/08/2014 19:40
170,01/08/2014 19:45
174,01/08/2014 19:50
172,01/08/2014 19:55
177,01/08/2014 20:00
182,01/08/2014 20:05
177,01/08/2014 20:10
176,01/08/2014 20:15
178,01/08/2014 20:20
174,01/08/2014 20:25
178,01/08/2014 20:30
182,01/08/2014 20:35
184,01/08/2014 20:40
183,01/08/2014 20:45
180,01/08/2014 20:50
176,01/08/2014 20:55
181,01/08/2014 21:00
184,01/08/2014 21:05
182,01/08/2014 21:10
187,01/08/2014 21:15
186,01/08/2014 21:20
188,01/08/2014 21:25
192,01/08/2014 21:30
194,01/08/2014 21:35
195,01/08/2014 21:40
194,01/08/2014 21:45
192,01/08/2014 21:50
192,01/08/2014 21:55
197,01/08/2014 22:00
202,01/08/2014 22:05
198,01/08/2014 22:10
198,01/08/2014 22:15
201,01/08/2014 22:20
196,01/08/2014 22:25
193,01/08/2014 22:30
194,01/08/2014 22:35
194,01/08/2014 22:40
195,01/08/2014 22:45
193,01/08/2014 22:50
195,01/08/2014 22:55
192,01/08/2014 23:00
187,01/08/2014 23:05
182,01/08/2014 23:10
185,01/08/2014 23:15
188,01/08/2014 23:20
192,01/08/2014 23:25
195,01/08/2014 23:30
196,01/08/2014 23:35
196,01/08/2014 23:40
200,01/08/2014 23:45
197,01/08/2014 23:50
192,01/08/2014 23:55
187,02/08/2014 00:00
183,02/08/2014 00:05
178,02/08/2014 00:10
178,02/08/2014 00:15
180,02/08/2014 00:20
178,02/08/2014 00:25
180,02/08/2014 00:30
179,02/08/2014 00:35
175,02/08/2014 00:40
178,02/08/2014 00:45
177,02/08/2014 00:50
180,02/08/2014 00:55
176,02/08/2014 01:00
173,02/08/2014 01:05
174,02/08/2014 01:10
176,02/08/2014 01:15
178,02/08/2014 01:20
183,02/08/2014 01:25
179,02/08/2014 01:30
181,02/08/2014 01:35
186,02/08/2014 01:40
191,02/08/2014 01:45
191,02/08/2014 01:50
196,02/08/2014 01:55
198,02/08/2014 02:00
197,02/08/2014 02:05
198,02/08/2014 02:10
203,02/08/2014 02:15
199,02/08/2014 02:20
199,02/08/2014 02:25
201,02/08/2014 02:30
200,02/08/2014 02:35
195,02/08/2014 02:40
199,02/08/2014 02:45
200,02/08/2014 02:50
199,02/08/2014 02:55
197,02/08/2014 03:00
198,02/08/2014 03:05
201,02/08/2014 03:10
201,02/08/2014 03:15
197,02/08/2014 03:20
193,02/08/2014 03:25
193,02/08/2014 03:30
190,02/08/2014 03:35
195,02/08/2014 03:40
192,02/08/2014 03:45
188,02/08/2014 03:50
188,02/08/2014 03:55
190,02/08/2014 04:00
186,02/08/2014 04:05
183,02/08/2014 04:10
184,02/08/2014 04:15
182,02/08/2014 04:20
184,02/08/2014 04:25
182,02/08/2014 04:30
178,02/08/2014 04:35
176,02/08/2014 04:40
171,02/08/2014 04:45
168,02/08/2014 04:50
170,02/08/2014 04:55
175,02/08/2014 05:00
174,02/08/2014 05:05
175,02/08/2014 05:10
174,02/08/2014 05:15
169,02/08/2014 05:20
173,02/08/2014 05:25
176,02/08/2014 05:30
173,02/08/2014 05:35
173,02/08/2014 05:40
178,02/08/2014 05:45
178,02/08/2014 05:50
182,02/08/2014 05:55
181,02/08/2014 06:00
183,02/08/2014 06:05
178,02/08/2014 06:10
175,02/08/2014 06:15
178,02/08/2014 06:20
181,02/08/2014 06:25
184,02/08/2014 06:30
186,02/08/2014 06:35
187,02/08/2014 06:40
189,02/08/2014 06:45
186,02/08/2014 06:50
187,02/08/2014 06:55
187,02/08/2014 07:00
191,02/08/2014 07:05
196,02/08/2014 07:10
197,02/08/2014 07:15
198,02/08/2014 07:20
201,02/08/2014 07:25
204,02/08/2014 07:30
207,02/08/2014 07:35
211,02/08/2014 07:40
205,02/08/2014 07:45
207,02/08/2014 07:50
211,02/08/2014 07:55
210,02/08/2014 08:00
213,02/08/2014 08:05
206,02/08/2014 08:10
207,02/08/2014 08:15
210,02/08/2014 08:20
207,02/08/2014 08:25
212,02/08/2014 08:30
207,02/08/2014 08:35
204,02/08/2014 08:40
205,02/08/2014 08:45
210,02/08/2014 08:50
213,02/08/2014 08:55
211,02/08/2014 09:00
201,02/08/2014 09:05
197,02/08/2014 09:10
202,02/08/2014 09:15
203,02/08/2014 09:20
203,02/08/2014 09:25
206,02/08/2014 09:30
201,02/08/2014 09:35
197,02/08/2014 09:40
192,02/08/2014 09:45
194,02/08/2014 09:50
198,02/08/2014 09:55
203,02/08/2014 10:00
199,02/08/2014 10:05
195,02/08/2014 10:10
200,02/08/2014 10:15
195,02/08/2014 10:20
192,02/08/2014 10:25
194,02/08/2014 10:30
196,02/08/2014 10:35
193,02/08/2014 10:40
189,02/08/2014 10:45
189,02/08/2014 10:50
187,02/08/2014 10:55
184,02/08/2014 11:00
183,02/08/2014 11:05
186,02/08/2014 11:10
184,02/08/2014 11:15
184,02/08/2014 11:20
181,02/08/2014 11:25
180,02/08/2014 11:30
